Country Name,2009,2010,2011,2012,2013,2014,2015,2016
Dominica,0.006263571,2.999366305,1.131231365,1.356771478,-0.046411647,0.799250373,-0.786447746,0.231336293
Denmark,1.30470991,2.31092437,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154,0.25
Dominican Republic,1.442151318,6.329932201,8.459362886,3.694549458,4.830950967,2.998642261,0.836746347,1.614166072
Algeria,5.737060361,3.911061955,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803
East Asia & Pacific (excluding high income),4.219030521,3.688899593,5.35604779,3.026963911,2.905927407,3.142990509,1.221270061,1.798456735
Early-demographic dividend,4.530176591,4.453325375,5.851009437,5.06011267,4.830950967,4.265748081,3.062031696,3.524489167
East Asia & Pacific,1.62173014,3.05725467,5.082594039,3.014899503,2.582687661,2.510876333,0.878603714,1.265344873
Europe & Central Asia (excluding high income),3.466723732,6.419565091,7.687251034,3.316055667,3.984712355,2.981308689,4.003578207,1.275125281
Europe & Central Asia,1.539132307,2.424473618,3.763681353,2.770890453,1.733619743,0.592255589,0.338705695,0.372761399
Ecuador,5.159968292,3.554377346,4.474532658,5.10172181,2.721775777,3.589220166,3.966646233,1.728264633
"Egypt, Arab Rep.",11.76349544,11.26518827,10.0539169,7.11815562,9.42157654,10.1445712,10.36206974,13.80966828
Euro area,0.368041998,1.525516021,3.289753749,2.485673529,1.219993423,0.24104743,0.037514381,0.183334861
Eritrea,,,,,,,,
Spain,-0.287996835,1.79988133,3.196146412,2.446000185,1.408546292,-0.150870313,-0.500461321,-0.202671741
Estonia,-0.078408311,2.97204512,4.981901315,3.933399873,2.78056659,-0.106175147,-0.492326007,0.148684908
Ethiopia,8.483644045,8.14926403,33.24995988,24.12435395,8.079723678,7.402193468,10.11074774,7.263731539
European Union,0.9293198,1.665502017,3.309808905,2.630127758,1.310233556,0.220195628,-0.054214713,0.216667431
Fragile and conflict affected situations,3.220399609,3.354757703,5.046102263,5.912006025,2.5934942,1.793794657,1.431611458,1.575302229
Finland,-9.17E-07,1.184135232,3.416807543,2.808336226,1.478286157,1.041196212,-0.20792884,0.356684501
Fiji,3.169529752,3.688899593,7.282402043,3.418746703,2.905927407,0.528118153,1.376130953,3.864771418
France,0.087620478,1.531122704,2.111597952,1.954195316,0.863715498,0.507758823,0.037514381,0.183334861
Faroe Islands,,,,,,,,
"Micronesia, Fed. Sts.",6.393602577,3.313709631,5.082594039,5.01850353,1.752327374,0.650284892,-0.298115837,-1.037468064
Gabon,1.885707546,1.461544027,1.263317078,2.652418287,0.505441059,4.690457518,-0.338795189,2.106707128
